DATE,TIME,LATITUDE,NS,LONGITUDE,EW,NAME,MANUAL,LONG
09/08/2016,22:02:45,52.66089,N,1.07057,W,20160809/No_ID_0_20160809_220245_000,NoID ,-1.07057
09/08/2016,22:02:56,52.66098,N,1.0705,W,20160809/No_ID_0_20160809_220256_000,NOISE,-1.0705
09/08/2016,22:03:20,52.6612,N,1.07068,W,20160809/No_ID_0_20160809_220320_000,NOISE,-1.07068
09/08/2016,22:03:45,52.66132,N,1.0711,W,20160809/No_ID_0_20160809_220345_000,NOISE,-1.0711
09/08/2016,22:04:03,52.66138,N,1.0714,W,20160809/No_ID_0_20160809_220403_000,NOISE,-1.0714
09/08/2016,22:04:22,52.66147,N,1.07186,W,20160809/No_ID_0_20160809_220422_000,NOISE,-1.07186
09/08/2016,22:04:34,52.66153,N,1.07216,W,20160809/No_ID_0_20160809_220434_000,NOISE,-1.07216
09/08/2016,22:04:40,52.66153,N,1.07216,W,20160809/No_ID_0_20160809_220440_000,NOISE,-1.07216
09/08/2016,22:04:45,52.66157,N,1.0723,W,20160809/No_ID_0_20160809_220445_000,NOISE,-1.0723
09/08/2016,22:04:49,52.66157,N,1.0723,W,20160809/No_ID_0_20160809_220449_000,NOISE,-1.0723
09/08/2016,22:04:56,52.66166,N,1.07232,W,20160809/No_ID_0_20160809_220456_000,NoID ,-1.07232
09/08/2016,22:05:10,52.66175,N,1.07226,W,20160809/No_ID_0_20160809_220510_000,NOISE,-1.07226
09/08/2016,22:05:14,52.66184,N,1.0722,W,20160809/No_ID_0_20160809_220514_000,NOISE,-1.0722
09/08/2016,22:05:18,52.66184,N,1.0722,W,20160809/No_ID_0_20160809_220518_000,NoID ,-1.0722
09/08/2016,22:05:27,52.66193,N,1.07213,W,20160809/No_ID_0_20160809_220527_000,NOISE,-1.07213
09/08/2016,22:05:33,52.66203,N,1.0721,W,20160809/No_ID_0_20160809_220533_000,NoID ,-1.0721
09/08/2016,22:05:40,52.66212,N,1.07208,W,20160809/No_ID_0_20160809_220540_000,NOISE,-1.07208
09/08/2016,22:05:45,52.66212,N,1.07208,W,20160809/No_ID_0_20160809_220545_000,NOISE,-1.07208
09/08/2016,22:05:50,52.6622,N,1.07215,W,20160809/No_ID_0_20160809_220550_000,NoID ,-1.07215
09/08/2016,22:06:05,52.66234,N,1.0724,W,20160809/No_ID_0_20160809_220605_000,NOISE,-1.0724
09/08/2016,22:06:12,52.66243,N,1.07247,W,20160809/No_ID_0_20160809_220612_000,NYLE,-1.07247
09/08/2016,22:06:24,52.66253,N,1.0725,W,20160809/No_ID_0_20160809_220624_000,NOISE,-1.0725
09/08/2016,22:06:43,52.6628,N,1.07236,W,20160809/No_ID_0_20160809_220643_000,NoID ,-1.07236
09/08/2016,22:06:59,52.66297,N,1.07224,W,20160809/No_ID_0_20160809_220659_000,NOISE,-1.07224
09/08/2016,22:07:20,52.66325,N,1.0721,W,20160809/No_ID_0_20160809_220720_000,NoID ,-1.0721
09/08/2016,22:08:21,52.66396,N,1.07249,W,20160809/No_ID_0_20160809_220821_000,NOISE,-1.07249
09/08/2016,22:09:18,52.66457,N,1.07206,W,20160809/No_ID_0_20160809_220918_000,NOISE,-1.07206
09/08/2016,22:09:26,52.66474,N,1.07192,W,20160809/No_ID_0_20160809_220926_000,NOISE,-1.07192
09/08/2016,22:10:21,52.665,N,1.07128,W,20160809/No_ID_0_20160809_221021_000,NOISE,-1.07128
09/08/2016,22:10:25,52.665,N,1.07128,W,20160809/No_ID_0_20160809_221025_000,NOISE,-1.07128
09/08/2016,22:11:38,52.66508,N,1.07023,W,20160809/No_ID_0_20160809_221138_000,NOISE,-1.07023
09/08/2016,22:11:47,52.66512,N,1.07009,W,20160809/No_ID_0_20160809_221147_000,NOISE,-1.07009
09/08/2016,22:11:56,52.66516,N,1.06994,W,20160809/No_ID_0_20160809_221156_000,NOISE,-1.06994
09/08/2016,22:12:00,52.66516,N,1.06994,W,20160809/No_ID_0_20160809_221200_000,NOISE,-1.06994
09/08/2016,22:12:05,52.66513,N,1.06979,W,20160809/No_ID_0_20160809_221205_000,NoID ,-1.06979
09/08/2016,22:12:13,52.66505,N,1.06971,W,20160809/No_ID_0_20160809_221213_000,NoID ,-1.06971
09/08/2016,22:12:25,52.66498,N,1.06961,W,20160809/No_ID_0_20160809_221225_000,NoID ,-1.06961
09/08/2016,22:12:52,52.66479,N,1.06906,W,20160809/No_ID_0_20160809_221252_000,NOISE,-1.06906
09/08/2016,22:12:54,52.66479,N,1.06906,W,20160809/No_ID_0_20160809_221254_000,NOISE,-1.06906
09/08/2016,22:13:02,52.66478,N,1.06891,W,20160809/No_ID_0_20160809_221302_000,NOISE,-1.06891
09/08/2016,22:13:10,52.66478,N,1.06875,W,20160809/No_ID_0_20160809_221310_000,NOISE,-1.06875
09/08/2016,22:13:14,52.66476,N,1.06858,W,20160809/No_ID_0_20160809_221314_000,NOISE,-1.06858
09/08/2016,22:13:18,52.66475,N,1.06843,W,20160809/No_ID_0_20160809_221318_000,NOISE,-1.06843
09/08/2016,22:13:22,52.66475,N,1.06843,W,20160809/No_ID_0_20160809_221322_000,NOISE,-1.06843
09/08/2016,22:13:29,52.66474,N,1.06828,W,20160809/No_ID_0_20160809_221329_000,NOISE,-1.06828
09/08/2016,22:13:43,52.66467,N,1.06797,W,20160809/No_ID_0_20160809_221343_000,NoID ,-1.06797
09/08/2016,22:13:51,52.66464,N,1.06782,W,20160809/No_ID_0_20160809_221351_000,NoID ,-1.06782
09/08/2016,22:13:56,52.6646,N,1.06768,W,20160809/No_ID_0_20160809_221356_000,NOISE,-1.06768
09/08/2016,22:13:59,52.6646,N,1.06768,W,20160809/No_ID_0_20160809_221359_000,NOISE,-1.06768
09/08/2016,22:14:03,52.6646,N,1.06768,W,20160809/No_ID_0_20160809_221403_000,NOISE,-1.06768
09/08/2016,22:14:13,52.66452,N,1.06739,W,20160809/No_ID_0_20160809_221413_000,NOISE,-1.06739
09/08/2016,22:14:20,52.66447,N,1.06725,W,20160809/No_ID_0_20160809_221420_000,NOISE,-1.06725
09/08/2016,22:14:27,52.66442,N,1.06712,W,20160809/No_ID_0_20160809_221427_000,NOISE,-1.06712
09/08/2016,22:14:35,52.66438,N,1.06697,W,20160809/No_ID_0_20160809_221435_000,NoID ,-1.06697
09/08/2016,22:14:42,52.66432,N,1.06685,W,20160809/No_ID_0_20160809_221442_000,NOISE,-1.06685
09/08/2016,22:14:47,52.66432,N,1.06685,W,20160809/No_ID_0_20160809_221447_000,NoID ,-1.06685
09/08/2016,22:14:51,52.66427,N,1.06672,W,20160809/No_ID_0_20160809_221451_000,NOISE,-1.06672
09/08/2016,22:14:59,52.66423,N,1.06658,W,20160809/No_ID_0_20160809_221459_000,NoID ,-1.06658
09/08/2016,22:15:14,52.66411,N,1.06633,W,20160809/No_ID_0_20160809_221514_000,NOISE,-1.06633
09/08/2016,22:15:21,52.66404,N,1.06622,W,20160809/No_ID_0_20160809_221521_000,NOISE,-1.06622
09/08/2016,22:15:26,52.66399,N,1.06609,W,20160809/No_ID_0_20160809_221526_000,NOISE,-1.06609
09/08/2016,22:15:32,52.66399,N,1.06609,W,20160809/No_ID_0_20160809_221532_000,NOISE,-1.06609
09/08/2016,22:15:37,52.66393,N,1.06596,W,20160809/No_ID_0_20160809_221537_000,NOISE,-1.06596
09/08/2016,22:15:43,52.66391,N,1.06579,W,20160809/No_ID_0_20160809_221543_000,NOISE,-1.06579
09/08/2016,22:15:48,52.66391,N,1.06579,W,20160809/No_ID_0_20160809_221548_000,NoID ,-1.06579
09/08/2016,22:16:03,52.66395,N,1.06565,W,20160809/No_ID_0_20160809_221603_000,NOISE,-1.06565
09/08/2016,22:16:09,52.66404,N,1.06571,W,20160809/No_ID_0_20160809_221609_000,NOISE,-1.06571
09/08/2016,22:16:15,52.66408,N,1.06586,W,20160809/No_ID_0_20160809_221615_000,NOISE,-1.06586
09/08/2016,22:16:26,52.66422,N,1.06608,W,20160809/No_ID_0_20160809_221626_000,NoID ,-1.06608
09/08/2016,22:16:41,52.6643,N,1.066,W,20160809/No_ID_0_20160809_221641_000,NoID ,-1.066
09/08/2016,22:16:53,52.66434,N,1.06572,W,20160809/No_ID_0_20160809_221653_000,NOISE,-1.06572
09/08/2016,22:17:00,52.66431,N,1.06557,W,20160809/No_ID_0_20160809_221700_000,NOISE,-1.06557
09/08/2016,22:17:29,52.6643,N,1.06496,W,20160809/No_ID_0_20160809_221729_000,NOISE,-1.06496
09/08/2016,22:17:34,52.6643,N,1.06496,W,20160809/No_ID_0_20160809_221734_000,NOISE,-1.06496
09/08/2016,22:17:46,52.66445,N,1.06479,W,20160809/No_ID_0_20160809_221746_000,NOISE,-1.06479
09/08/2016,22:17:55,52.66462,N,1.06468,W,20160809/No_ID_0_20160809_221755_000,NOISE,-1.06468
09/08/2016,22:18:04,52.66471,N,1.06474,W,20160809/No_ID_0_20160809_221804_000,NOISE,-1.06474
09/08/2016,22:18:16,52.66489,N,1.06484,W,20160809/No_ID_0_20160809_221816_000,NOISE,-1.06484
09/08/2016,22:18:20,52.66489,N,1.06484,W,20160809/No_ID_0_20160809_221820_000,NOISE,-1.06484
09/08/2016,22:18:25,52.66496,N,1.06494,W,20160809/No_ID_0_20160809_221825_000,NOISE,-1.06494
09/08/2016,22:18:27,52.66496,N,1.06494,W,20160809/No_ID_0_20160809_221827_000,NOISE,-1.06494
09/08/2016,22:18:34,52.66503,N,1.06507,W,20160809/No_ID_0_20160809_221834_000,NOISE,-1.06507
09/08/2016,22:18:39,52.66509,N,1.06518,W,20160809/No_ID_0_20160809_221839_000,NoID ,-1.06518
09/08/2016,22:18:47,52.66515,N,1.06531,W,20160809/No_ID_0_20160809_221847_000,NOISE,-1.06531
09/08/2016,22:19:00,52.6652,N,1.06543,W,20160809/No_ID_0_20160809_221900_000,NOISE,-1.06543
09/08/2016,22:19:04,52.66526,N,1.06555,W,20160809/No_ID_0_20160809_221904_000,NOISE,-1.06555
09/08/2016,22:19:23,52.66525,N,1.0658,W,20160809/No_ID_0_20160809_221923_000,NOISE,-1.0658
09/08/2016,22:19:29,52.66525,N,1.0658,W,20160809/No_ID_0_20160809_221929_000,NOISE,-1.0658
09/08/2016,22:19:51,52.6654,N,1.06619,W,20160809/No_ID_0_20160809_221951_000,NOISE,-1.06619
09/08/2016,22:19:59,52.66549,N,1.06626,W,20160809/No_ID_0_20160809_221959_000,NOISE,-1.06626
09/08/2016,22:20:04,52.66557,N,1.06633,W,20160809/No_ID_0_20160809_222004_000,NOISE,-1.06633
09/08/2016,22:20:07,52.66557,N,1.06633,W,20160809/No_ID_0_20160809_222007_000,NOISE,-1.06633
09/08/2016,22:20:13,52.66563,N,1.06644,W,20160809/No_ID_0_20160809_222013_000,NOISE,-1.06644
09/08/2016,22:20:20,52.66568,N,1.06658,W,20160809/No_ID_0_20160809_222020_000,NOISE,-1.06658
09/08/2016,22:20:30,52.66577,N,1.06686,W,20160809/No_ID_0_20160809_222030_000,NOISE,-1.06686
09/08/2016,22:20:45,52.66592,N,1.06706,W,20160809/No_ID_0_20160809_222045_000,NOISE,-1.06706
09/08/2016,22:20:53,52.66597,N,1.0672,W,20160809/No_ID_0_20160809_222053_000,NoID ,-1.0672
09/08/2016,22:21:05,52.66606,N,1.06727,W,20160809/No_ID_0_20160809_222105_000,NOISE,-1.06727
09/08/2016,22:21:10,52.66615,N,1.06726,W,20160809/No_ID_0_20160809_222110_000,NOISE,-1.06726
09/08/2016,22:21:16,52.66623,N,1.06735,W,20160809/No_ID_0_20160809_222116_000,NOISE,-1.06735
09/08/2016,22:21:26,52.66625,N,1.06751,W,20160809/No_ID_0_20160809_222126_000,NOISE,-1.06751
09/08/2016,22:21:33,52.66628,N,1.06765,W,20160809/No_ID_0_20160809_222133_000,NOISE,-1.06765
09/08/2016,22:21:37,52.66628,N,1.06765,W,20160809/No_ID_0_20160809_222137_000,NOISE,-1.06765
09/08/2016,22:21:40,52.66628,N,1.06765,W,20160809/No_ID_0_20160809_222140_000,NOISE,-1.06765
09/08/2016,22:21:43,52.66628,N,1.06765,W,20160809/No_ID_0_20160809_222143_000,NoID ,-1.06765
09/08/2016,22:21:50,52.66644,N,1.0678,W,20160809/No_ID_0_20160809_222150_000,NOISE,-1.0678
09/08/2016,22:22:01,52.66651,N,1.06788,W,20160809/No_ID_0_20160809_222201_000,NOISE,-1.06788
09/08/2016,22:22:12,52.6666,N,1.06782,W,20160809/No_ID_0_20160809_222212_000,NoID ,-1.06782
09/08/2016,22:22:25,52.66669,N,1.06781,W,20160809/No_ID_0_20160809_222225_000,NoID ,-1.06781
09/08/2016,22:22:30,52.66669,N,1.06781,W,20160809/No_ID_0_20160809_222230_000,NOISE,-1.06781
09/08/2016,22:22:33,52.66669,N,1.06781,W,20160809/No_ID_0_20160809_222233_000,NOISE,-1.06781
09/08/2016,22:22:37,52.66679,N,1.06781,W,20160809/No_ID_0_20160809_222237_000,NOISE,-1.06781
09/08/2016,22:22:43,52.66679,N,1.06781,W,20160809/No_ID_0_20160809_222243_000,NoID ,-1.06781
09/08/2016,22:22:59,52.66695,N,1.06779,W,20160809/No_ID_0_20160809_222259_000,NOISE,-1.06779
09/08/2016,22:23:19,52.66699,N,1.06809,W,20160809/No_ID_0_20160809_222319_000,NOISE,-1.06809
09/08/2016,22:23:24,52.66701,N,1.06823,W,20160809/No_ID_0_20160809_222324_000,NOISE,-1.06823
09/08/2016,22:23:32,52.66704,N,1.06838,W,20160809/No_ID_0_20160809_222332_000,NoID ,-1.06838
09/08/2016,22:23:38,52.66709,N,1.06852,W,20160809/No_ID_0_20160809_222338_000,NOISE,-1.06852
09/08/2016,22:23:51,52.66723,N,1.06876,W,20160809/No_ID_0_20160809_222351_000,NOISE,-1.06876
09/08/2016,22:24:01,52.6673,N,1.06887,W,20160809/No_ID_0_20160809_222401_000,NOISE,-1.06887
09/08/2016,22:24:07,52.66737,N,1.06896,W,20160809/No_ID_0_20160809_222407_000,NOISE,-1.06896
09/08/2016,22:24:10,52.66737,N,1.06896,W,20160809/No_ID_0_20160809_222410_000,NOISE,-1.06896
09/08/2016,22:24:14,52.66745,N,1.06906,W,20160809/No_ID_0_20160809_222414_000,NOISE,-1.06906
09/08/2016,22:24:35,52.66751,N,1.06951,W,20160809/No_ID_0_20160809_222435_000,NOISE,-1.06951
09/08/2016,22:24:40,52.66751,N,1.06966,W,20160809/No_ID_0_20160809_222440_000,NOISE,-1.06966
09/08/2016,22:24:48,52.6675,N,1.06981,W,20160809/No_ID_0_20160809_222448_000,NOISE,-1.06981
09/08/2016,22:24:51,52.6675,N,1.06981,W,20160809/No_ID_0_20160809_222451_000,NOISE,-1.06981
09/08/2016,22:24:56,52.6675,N,1.06997,W,20160809/No_ID_0_20160809_222456_000,NOISE,-1.06997
09/08/2016,22:25:01,52.6675,N,1.06997,W,20160809/No_ID_0_20160809_222501_000,NOISE,-1.06997
09/08/2016,22:25:07,52.66751,N,1.07013,W,20160809/No_ID_0_20160809_222507_000,NOISE,-1.07013
09/08/2016,22:25:20,52.66757,N,1.07042,W,20160809/No_ID_0_20160809_222520_000,NoID ,-1.07042
09/08/2016,22:25:29,52.66758,N,1.07057,W,20160809/No_ID_0_20160809_222529_000,NOISE,-1.07057
09/08/2016,22:25:32,52.66759,N,1.07073,W,20160809/No_ID_0_20160809_222532_000,NOISE,-1.07073
09/08/2016,22:25:41,52.6676,N,1.07088,W,20160809/No_ID_0_20160809_222541_000,NOISE,-1.07088
09/08/2016,22:25:47,52.6676,N,1.07088,W,20160809/No_ID_0_20160809_222547_000,NOISE,-1.07088
09/08/2016,22:25:56,52.66768,N,1.07096,W,20160809/No_ID_0_20160809_222556_000,NOISE,-1.07096
09/08/2016,22:26:08,52.66787,N,1.07103,W,20160809/No_ID_0_20160809_222608_000,NOISE,-1.07103
09/08/2016,22:26:18,52.66798,N,1.07103,W,20160809/No_ID_0_20160809_222618_000,NOISE,-1.07103
09/08/2016,22:26:30,52.66808,N,1.07102,W,20160809/No_ID_0_20160809_222630_000,NOISE,-1.07102
09/08/2016,22:26:40,52.66826,N,1.071,W,20160809/No_ID_0_20160809_222640_000,NOISE,-1.071
09/08/2016,22:26:42,52.66826,N,1.071,W,20160809/No_ID_0_20160809_222642_000,NOISE,-1.071
09/08/2016,22:26:56,52.66845,N,1.07095,W,20160809/No_ID_0_20160809_222656_000,NOISE,-1.07095
09/08/2016,22:26:59,52.66845,N,1.07095,W,20160809/No_ID_0_20160809_222659_000,NOISE,-1.07095
09/08/2016,22:27:04,52.66848,N,1.0708,W,20160809/No_ID_0_20160809_222704_000,NOISE,-1.0708
09/08/2016,22:27:07,52.66848,N,1.0708,W,20160809/No_ID_0_20160809_222707_000,NoID ,-1.0708
09/08/2016,22:27:16,52.66843,N,1.07067,W,20160809/No_ID_0_20160809_222716_000,NOISE,-1.07067
09/08/2016,22:27:21,52.66838,N,1.07054,W,20160809/No_ID_0_20160809_222721_000,NOISE,-1.07054
09/08/2016,22:27:28,52.66833,N,1.0704,W,20160809/No_ID_0_20160809_222728_000,NOISE,-1.0704
09/08/2016,22:27:53,52.66822,N,1.06997,W,20160809/No_ID_0_20160809_222753_000,NOISE,-1.06997
09/08/2016,22:28:02,52.66815,N,1.06986,W,20160809/No_ID_0_20160809_222802_000,NOISE,-1.06986
09/08/2016,22:28:06,52.66806,N,1.06979,W,20160809/No_ID_0_20160809_222806_000,NOISE,-1.06979
09/08/2016,22:28:12,52.66796,N,1.06976,W,20160809/No_ID_0_20160809_222812_000,NOISE,-1.06976
09/08/2016,22:28:18,52.66796,N,1.06976,W,20160809/No_ID_0_20160809_222818_000,NOISE,-1.06976
09/08/2016,22:28:21,52.66787,N,1.0697,W,20160809/No_ID_0_20160809_222821_000,NOISE,-1.0697
09/08/2016,22:28:24,52.66787,N,1.0697,W,20160809/No_ID_0_20160809_222824_000,NoID ,-1.0697
09/08/2016,22:28:38,52.66777,N,1.06945,W,20160809/No_ID_0_20160809_222838_000,NOISE,-1.06945
09/08/2016,22:28:53,52.66768,N,1.06916,W,20160809/No_ID_0_20160809_222853_000,NOISE,-1.06916
09/08/2016,22:29:00,52.66763,N,1.06902,W,20160809/No_ID_0_20160809_222900_000,NoID ,-1.06902
09/08/2016,22:29:07,52.66759,N,1.06887,W,20160809/No_ID_0_20160809_222907_000,NOISE,-1.06887
09/08/2016,22:29:12,52.66759,N,1.06887,W,20160809/No_ID_0_20160809_222912_000,NOISE,-1.06887
09/08/2016,22:29:21,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_222921_000,NOISE,-1.06856
09/08/2016,22:29:27,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_222927_000,NOISE,-1.06856
09/08/2016,22:29:30,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_222930_000,NOISE,-1.06856
09/08/2016,22:29:43,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_222943_000,NOISE,-1.06856
09/08/2016,22:29:56,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_222956_000,NOISE,-1.06856
09/08/2016,22:30:04,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_223004_000,NOISE,-1.06856
09/08/2016,22:30:09,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_223009_000,NOISE,-1.06856
09/08/2016,22:30:14,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_223014_000,NOISE,-1.06856
09/08/2016,22:30:22,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_223022_000,NOISE,-1.06856
